Variable name,Description,English,French
n_uncertainty_words,"Number of occurrences of the following words denoting uncertainty (Garrard et al., 2014)",yes,yes
prop_uncertainty_words,"Ratio of words denoting uncertainty to the total number of words (Garrard et al., 2014)",yes,yes
n_formulaic_expressions,"Number of occurrences of the following formulaic expressions in the sample (Van Lancker Sidtis et al., 2015)",yes,yes
prop_formulaic_expressions,"Ratio of formulaic expressions to the total number of words (Van Lancker Sidtis et al., 2015)",yes,yes
n_modal_expressions,"Number of occurrences of the following modal expressions in the sample: (Boschi et al., 2017, Boyé et al., 2014)",yes,yes
prop_modal_expressions,"Ratio of modal words to the total number of words (Boschi et al., 2017;  Boyé et al., 2014)",yes,yes
n_filler_expressions,"Number of filler words",yes,yes
prop_filler_expressions,"Ratio of filler words to the total number of words",yes,yes
n_difficulty_words,"Number of words indicating lexical access difficulties (Garrard et al., 2014; Rentoumi et al., 2014)",yes,yes
prop_difficulty_words,"Ratio of words indicating lexical access difficulties to the total number of words (Garrard et al., 2014; Rentoumi et al., 2014)",yes,yes
coherence_locale,Measure of the semantic similarity of a sentence to the previous one. Higher values indicate greater similarity and less semantic distance,yes,yes
emotion,Emotion generated by the speech sample,yes,yes
sentiment,"Average valence score of all the words in the sample.",yes,yes
